term,sessionPeriod,sessionTimes,meetingTimes,agendaNo,billName,docUrl,selectTerm,
08,01,02,,23,本院委員羅淑蕾、潘維剛、林佳龍等21人，鑒於台灣鐵路管理局之自強號、莒光號之準點率低於整體平均列車整點率，而自強號列車和莒光號列車的售票價格與速度皆比一般列車來的高，卻與整體準點率不成正比，爰此，請交通部、台灣鐵路管理局等相關單位，檢討現有措施並提出提升準點率的具體方案，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_023.doc,all,
08,01,03,,1,本院委員孔文吉、鄭天財、簡東明等13人，就有關馬總統原住民政見4年500億經費「辦理原住民族基礎建設方案」，專用於建設原住民鄉鎮的農路、產業道路、橋樑、堤防、護岸、水電、消防、邊坡水土保持，以及調查、安置安全堪虞之滑動部落等多項業務，從98至101年度4年合計編列共504億元。然因行政院原住民族委員會所編列的「原鄉動脈發展計畫」4年34.8億元至本（101）年度執行已告結束，由於原住民鄉鎮農路、產業道路係原住民經濟發展命脈，且原住民族對農路之需求甚殷，未來仍須持續興建與改善。本席建議行政院原住民族委員會及行政院農業委員會再次編列相關預算，以保障原住民族生命財產安全並保育國土，促進原住民族生存發展，請公決案。,http://misq.ly.gov.tw/MISQ/docu/201203/1010313089901600_031312511.doc,all,
08,01,03,,2,本院委員陳淑慧、陳碧涵等18人，鑑於我國特殊教育需求日殷，特殊教育學生受教權保障應受更實質之重視，現行制度下乃設置特殊教育助理人員，以輔佐特教學生課堂學習，並幫助教師順利教學，依相關規定，特教學生與助理比例應為15：1，然依據100年度特殊教育統計年報顯示，目前尚需2127名教師助理員，方能符合法定比例，達成制度目的。據此，為保障特殊教育學生之受教育權，爰提案建請教育部儘速補足教師助理員缺額，以順利推動融合教育，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_002.doc,all,
08,01,03,,3,本院委員許忠信、林世嘉、許智傑等18人，鑒於全民至今仍然對於H5N2是否可能造成人體的感染存有疑慮，並衡諸於縱然疾管單位聲稱絕無傳染可能，然而其自身亦尚未有任何研究根據足證明其之所陳稱。因此，本席特此提議要求疾管局全面檢驗國內禽畜業者是否有禽流感抗體反應，並做成專案報告送交立法院，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_003.doc,all,
08,01,03,,4,本院委員廖正井、陳學聖等13人，鑒於本年1月間離楊梅埔心火車站前約五百公尺幸福水泥平交道，台鐵太魯閣號撞上砂石車，造成1死25傷慘劇，肇事原因及責任雖由檢調偵辦中，惟為避免憾事再度發生，影響公共安全，爰建議行政院責成經濟部礦務局、交通部，會商地方政府協助該砂石廠遷廠，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_004.doc,all,
08,01,03,,5,本院委員林正二等12人，針對教育部「99-101學年度離島地區及原住民籍高級中等學校應屆畢業生升學國（市）立師範及教育大學聯合保送甄試」3年來僅只招收「平地」原住民「2」名學生，不僅名額稀少，甚至連續2年「缺額」招生，而且連續3年沒有培育國小師資，除侵害「平地」原住民學生權益外，也違反原住民族教育法，並危害原住民族教育自主權利，行政院應儘速研擬具體有效改善計畫方案，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_005.doc,all,
08,01,03,,6,本院委員陳歐珀、許智傑等18人，有鑑於農委會及所屬動植物防疫檢疫局等相關官員隱匿禽流感疫情，造成疫情逐漸擴大，雞農損失慘重，致生社會恐慌。因此建請行政院農委會主委為隱匿禽流感疫情此事，請辭負責；並針對隱匿疫情、防疫鬆散，造成雞農重大損失，政府應立即辦理國家賠償等事宜，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_006.doc,all,
08,01,03,,7,本院委員徐欣瑩等11人，有鑑於環保署2年多前即決議友達、華映汙廢水需從霄裡溪改排到老街溪，卻遲遲無法完成改排，有違社會公平正義，爰特建請行政院應針對友達、華映汙廢水案，即刻撤銷桃園縣政府之違法行政處分，並由環保署代為發放改排許可，以符合社會大眾對公平正義之期待，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_007.doc,all,
08,01,03,,8,本院委員許添財等11人，有鑑於中國官員在我國境內執行其國家任務，常以經貿文化參訪名義或商業採購為由，遂行其對台工作之政治目的，影響我國國家安全與政策自主性，特建議行政院制定相關規範與執行標準，以維護我國家體制與行政紀律，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_008.doc,all,
08,01,03,,9,本院委員吳宜臻等11人，鑒於在作戰方式愈趨現代化的趨勢下，國防部卻仍抱著舊有的作戰思考模式，帶著刻板印象的有色眼鏡來挑選「保家衛國」的士兵，不僅違反憲法之平等原則、侵害了女性及身體障礙者之受教權及工作權，同時也喪失了網羅優秀國軍人才的機會。為保障女性及身體障礙者憲法保障權利，並達到國防部積極招募高素質人力之目的，要求國防部應立即更改招募條件，取消對女性及體位之歧視規定，並召開國軍招募檢視會議，重新檢視並規劃符合現行作戰形式之招募方式，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_016.doc,all,
08,01,03,,10,本院委員吳育昇、盧秀燕、吳育仁、潘維剛、江惠貞等31人，有鑑於近日媒體報導色情影音網站利用熱門手機軟體傳送色情廣告，另附網址供直接點閱，將對未成年者產生不良影響，該軟體更有淪為毒梟或不法人士從事犯罪工具的風險，建請NCC應重視該問題，並配合法務部、交通部、教育部等相關部會，共同研討關於新科技帶來色情資訊氾濫等問題在各方面的影響與防範，儘速提出改善政策及相關懲處辦法，維護通訊傳播安全並保障未成年者遠離色情污染，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_010.doc,all,
08,01,03,,11,本院委員羅淑蕾、潘維剛、林佳龍等21人，鑒於台灣鐵路管理局之自強號、莒光號之準點率低於整體平均列車整點率，而自強號列車和莒光號列車的售票價格與速度皆比一般列車來的高，卻與整體準點率不成正比，爰此，請交通部、台灣鐵路管理局等相關單位，檢討現有措施並提出提升準點率的具體方案，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_023.doc,all,
08,01,03,,12,本院委員羅明才、吳育昇等33人，鑒於深坑地區近年來住宅大廈、著名國際飯店、電子研究所、信義財貿園區、工業城、大學等興建，帶動人口急遽成長，因此交通流量需求日益龐大；而石碇地區假日遊客數並不亞於台北市近郊其他地區，因此有待加強大眾運輸服務以改善交通問題。爰此本席建請行政院將大臺北捷運系統文湖線由動物園站延伸至深坑、石碇地區之建設列入新內閣推動政策的首要工作項目之一。促進深坑、石碇地區交通系統的平衡發展，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_012.doc,all,
08,01,03,,13,本院委員賴士葆、盧秀燕等22人，查我國家戶連網率超過八成，經常上網人口約1096萬人，顯示網路已成為民眾生活的一部分。近來，隨著雲端應用的興起，人們對於網路頻寬的需求也愈來愈高，但我國ISP業者的寬頻服務卻常被批評收費太貴、速度太慢，惹來廣大民怨。其實，民眾對於寬頻服務最不滿意的是，花了大錢卻得不到該有的連線速率。因此，為保障民眾購買寬頻上網的服務品質及權益，爰提案要求國家通訊傳播委員會限期於三個月內，針對ISP業者，依不同級距之寬頻服務，訂定最低上網頻寬服務水準保證規範並予公告實施，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_012.doc,all,
08,01,03,,14,本院委員蔣乃辛、羅淑蕾、吳育昇等20人，有鑑於汽機車強制責任保險係為補償汽機車交通事故受害人基本損失之重要制度之一，以「無盈無虧」為目標，但強制汽車責任保險法施行將近14年，以近五年保費收支情形為例，每年保費收入約60億，但實際的理賠給付卻不到24億（約總保費的4成），也就是說近五年來超收超過182億保費。同時在182億超收保費中，五年來保險公司費用亦高達75億，而目前特別準備金累積，亦已累計超過130億，若以近五年每年平均理賠24億計算，保戶可以五年免繳保費，由此可見保費超收有多嚴重。為維護汽機車主之權益，及落實強制責任險「無盈無虧」的目標，本席等要求行政院立即調降機車強制責任保險一半保費；定期公布強制汽機車責任保險收支明細，透明化財務情形；重新檢討過高的保險業務費，並作適度調降，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_014.doc,all,
08,01,03,,15,本院委員黃偉哲等16人，鑒於觀光夜市已成為台灣觀光產業的亮點，多數國外觀光對於台灣觀光夜市評價甚高，但由於觀光夜市之規劃與發展長期遭政府漠視，也未見政府進行輔導，導致多數觀光夜市因噪音、空氣汙染、垃圾及停車問題常與當地居民發生衝突，甚至造成觀光夜市被迫遷移或消滅，為此，建請觀光局立即成立觀光夜市輔導小組，全面協助我國觀光夜市之規劃，以達觀光夜市發展與地區居民權益保障和平共存之效，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/04-1010320/0801041010320_020.doc,all,
08,01,03,,16,本院委員王育敏、羅淑蕾、吳育昇、王惠美、呂玉玲等21人，鑑於目前已有含瘦肉精之美國牛肉流通市面，且國中、小學生及學齡前幼兒並無自由選擇校膳菜色及食物來源之權利。為捍衛兒童少年健康及飲食安全，在無充分科學證據足以證明萊克多巴胺對人體完全無害之前，本席等建議教育部應明令要求全國各公、私立國中小及幼兒園，全面禁止校膳（營養午餐）使用美國牛肉，並採用本土牛肉，並建置相關稽查及通報機制，徹底落實執行，確保全國學童健康無虞，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_016.doc,all,
08,01,03,,17,本院委員廖國棟、吳育仁等29人，為民國99年台東縣每十萬人惡性腫瘤死亡率有164人，甚至高於本島高汙染縣份，例如：雲林縣161.2人及嘉義縣154.2人，高居國內第一名，其惡性腫瘤死亡率甚至是最低縣市的兩倍之多，顯示政府應立即強化台東縣醫療資源投資，亦可先透過鼓勵公立醫學中心與台東縣境內公立醫院整合，提供台東縣民更完整的癌症醫療服務，避免台東民眾因欠缺醫療資源或就醫不便導致惡性腫瘤死亡率居高不下，如此方才符合政府平等照顧所有國民的責任，並落實偏鄉正義，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/04-1010320/0801041010320_002.doc,all,
08,01,03,,18,本院委員李昆澤、邱志偉、林佳龍、蔡其昌、黃偉哲、李俊俋、鄭麗君、許智傑等21人，針對日前新北市發生娃娃車幼童掉落意外事件，且經查發現業者未按規定派出隨行教師，以及肇事托兒所違法經營安親班，基於保障幼童安全，爰此，建請政府機關應加強檢驗特種車輛內各項安全設備、稽查違法經營幼教安親業者以及落實「兒童及少年福利與權益保障法」接送車輛應設置管理及隨車人員之規定，以免相同的事情再次發生，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_018.doc,all,
08,01,03,,19,本院委員林佳龍、陳亭妃、陳歐珀、劉櫂豪、許智傑等15人，針對2月、3月中油液化石油氣每公斤連續上漲共13%以上，漲幅驚人，鑒於瓦斯是重要民生用品，當瓦斯行零售價格高於參考價，政府並沒有任何平抑措施來保護消費者，加上中油、台塑等進口油業寡占，其進口原油及天然氣的進口商訂定價錢是否公允？有無聯合漲價？建請公平會查辦，並請經濟部運用石油管理法第36條第8款以及石油基金收支保管及運用辦法第5條第5款「其他經主管機關認為穩定石油供應及維護油品市場秩序之必要措施」，研議運用石油基金補助偏遠地區平地鄉鎮安裝天然氣，並對非都市地區桶裝瓦斯予以合理補助，另請消防署儘速擬定合理補助零售瓦斯業者更新瓦斯鋼瓶辦法，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_019.doc,all,
08,01,03,,20,本院委員姚文智、黃偉哲等17人，鑒於國內不斷查獲含有瘦肉精之美國牛肉於市面上販售，更有部分已在下架前售出，使國人食用可能對人體造成危害之牛肉而不自覺，在在顯示所謂「三管五卡」毫無作用，而中央主管機關怠惰散漫，也讓部分不肖業者有恃無恐，不斷輸入不合格之牛肉。為保障國民健康，維護消費者知的權利，要求中央主管機關提出具體方案，即日起全面清查全國市面上進口牛肉，並即時正式公布抽檢結果，同時對不合格業者即刻下架與開罰，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_020.doc,all,
08,01,03,,21,本院委員鄭麗君、李昆澤、趙天麟等13人，有鑑於政府公部門部分影像資源僅有配音而缺乏字幕，如觀光景點之簡介影片，妨礙聽障人士使用公共資源之權益；建請行政院通令所屬各機關單位，今後提供給民眾包括業務簡介與專門主題等公共資訊之所有影像資源，均須同時具備配音及字幕，並須清查現有公共資源予以改善，以落實「身心障礙者權利保障法」第五十二條規定各級及各目的事業主管機關應辦理公共資訊無障礙服務，協助身心障礙者參與社會之立法意旨，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_021.doc,all,
08,01,03,,22,本院委員李貴敏、吳育昇、廖正井、陳碧涵、詹凱臣、王惠美、潘維剛、羅淑蕾、江惠貞、吳育仁等29人，鑑於近年來多起食品安全事件及國人對於瘦肉精之疑慮，建請行政院整合醫學、科學、經貿與法律的專家建立「風險管理」體系，並立即成立「萊克多巴胺本土風險評估委員會」，以有效控管相關風險並作為主管機關決策之依據，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/03-1010313/0801031010313_022.doc,all,
08,01,03,,23,本院委員簡東明等20人，鑑於原住民族地區之公墓用地嚴重不足，原鄉部落傳統公墓未有妥慎規劃且均已飽和，舊墓更新刻不容緩，然內政部及行政院原住民族委員會皆未列有遷葬費用之補助辦法，財政窘困的原住民鄉（區）公所無力獨自承擔而難以推動舊墓更新業務，令原住民族地區居民之權益嚴重受損。爰建請內政部、原民會共同協商研處後，責成相關單位儘速針對原住民族地區之公墓舊墓更新所需之遷葬費用補助研訂相關辦法，以保障居民之權益，並重建民眾對政府施政能力的信心，請公決案。,http://lci.ly.gov.tw/LyLCEW/agenda/provisionalBill/08/01/02-1010306/0801021010306_006.doc,all,
